DATA         'QLIQ'       'QG'    'QO'    'QW'    'QWI'   'BHP'   'PE'
             'm3/Day'     'm3/Day' 'm3/Day' 'm3/Day' 'm3/Day' 'kgf/cm2' 'kgf/cm2'
1997/11/30   209.9  8814.0   209.9     0.0     0.0     0.0     0.0
1997/12/31  1190.0 53797.8  1190.0     0.0     0.0     0.0     0.0
1998/01/31   643.8 33821.9   643.8     0.0     0.0     0.0     0.0
1998/02/28   566.5 29792.3   566.5     0.0     0.0     0.0     0.0
1998/03/31   469.4 24481.7   469.4     0.0     0.0     0.0     0.0
1998/04/30   384.8 19446.8   384.8     0.0     0.0     0.0     0.0
1998/05/31   530.4 53709.1   530.4     0.0     0.0     0.0     0.0
1998/06/30   572.5109936.2   572.5     0.0     0.0     0.0     0.0
1998/07/31   561.9154897.9   561.9     0.0     0.0     0.0     0.0
1998/08/31   420.4211663.8   420.4     0.0     0.0     0.0     0.0
1998/09/30   315.1188494.2   315.1     0.0     0.0     0.0     0.0
1998/10/31   421.5263350.3   421.5     0.0     0.0     0.0     0.0
1998/11/30   417.0290820.1   417.0     0.0     0.0     0.0     0.0
1998/12/31   306.5208475.9   306.5     0.0     0.0     0.0     0.0
1999/01/31   103.5 72807.3   103.5     0.0     0.0     0.0     0.0
1999/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
1999/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2000/01/31   273.0 27052.2   273.0     0.0     0.0     0.0     0.0
2000/02/29   204.2 12177.6   203.3     0.9     0.0     0.0     0.0
2000/03/31   301.1 15296.4   295.7     5.4     0.0     0.0     0.0
2000/04/30   417.0 22455.6   409.5     7.5     0.0     0.0     0.0
2000/05/31   401.6 22533.3   394.6     7.0     0.0     0.0     0.0
2000/06/30   236.9 37173.2   236.9     0.0     0.0     0.0     0.0
2000/07/31   182.5 30814.4   182.5     0.0     0.0     0.0     0.0
2000/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2000/09/30     4.8   913.3     4.8     0.0     0.0     0.0     0.0
2000/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2000/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2000/12/31     0.2    31.3     0.2     0.0     0.0     0.0     0.0
2001/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2001/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2001/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2001/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2001/05/31    14.7  2771.3    14.7     0.0     0.0     0.0     0.0
2001/06/30    90.7 15573.7    90.7     0.0     0.0     0.0     0.0
2001/07/31   143.2 24170.3   143.2     0.0     0.0     0.0     0.0
2001/08/31   163.6 27961.9   163.6     0.0     0.0     0.0     0.0
2001/09/30   203.0 35932.6   203.0     0.0     0.0     0.0     0.0
2001/10/31   158.7 30248.7   158.7     0.0     0.0     0.0     0.0
2001/11/30   176.6 30868.1   176.6     0.0     0.0     0.0     0.0
2001/12/31   144.9 22771.0   144.9     0.0     0.0     0.0     0.0
2002/01/31   143.0 26147.7   143.0     0.0     0.0     0.0     0.0
2002/02/28   216.6 41628.1   216.6     0.0     0.0     0.0     0.0
2002/03/31   137.6 27452.0   137.6     0.0     0.0     0.0     0.0
2002/04/30   175.7 38872.8   175.7     0.0     0.0     0.0     0.0
2002/05/31   138.5 25969.8   138.5     0.0     0.0     0.0     0.0
2002/06/30    87.3  6914.6    87.3     0.0     0.0     0.0     0.0
2002/07/31    70.3  2618.1    70.3     0.0     0.0     0.0     0.0
2002/08/31    87.8  3488.1    87.8     0.0     0.0     0.0     0.0
2002/09/30     1.2    42.8     1.2     0.0     0.0     0.0   147.8
2002/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2002/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2002/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2003/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/02/29     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2004/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2005/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2006/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2007/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/02/29     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2008/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/08/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/09/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/10/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/11/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2009/12/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2010/01/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2010/02/28     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2010/03/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2010/04/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2010/05/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2010/06/30     0.0     0.0     0.0     0.0     0.0     0.0     0.0
2010/07/31     0.0     0.0     0.0     0.0     0.0     0.0     0.0
