1612299;ENG1000;7.8;FIS1033;5.7;MAT1161;7.6;QUI1740;7.9
1413399;ENG1000;8.4;MAT1161;9.2;MAT1260;5.3
1511188;FIS1033;8.7;MAT1161;8.5;QUI1740;8.3
1412222;MAT1161;5.4;MAT1260;3.1;QUI1740;8.1
1619999;ENG1000;6.7;MAT1260;5.1
1412222;FIS1033;4.8;MAT1161;7.2;MAT1260;3.9
1617777;MAT1260;2.3;QUI1740;9.4
1418833;ENG1000;6.9;FIS1033;3.1
1611155;MAT1260;5.3;QUI1740;8.9
1414466;FIS1033;9.4;MAT1161;5.5;MAT1260;6.1
1312211;FIS1033;6.7;QUI1740;6.7
1713300;ENG1000;8.3;FIS1033;3.4;MAT1161;5.4;MAT1260;7.1
1111188;MAT1161;4.5;MAT1260;6.1
1412200;ENG1000;6.2;MAT1260;6.6
1519911;MAT1260;9.1;QUI1740;5.4
1512211;ENG1000;8.3;MAT1161;9.1
1417700;FIS1033;2.6;QUI1740;8.8
1618811;MAT1260;4.8;QUI1740;8.2
1511100;MAT1161;7.1;MAT1260;7.3
1414400;ENG1000;8.2;MAT1161;6.7;MAT1260;6.7
